"","Gene","Score","Cell_State"
"4","CMC1",-0.023587,"NS2"
"11","GZMH",0.007514,"NS1"
"3","CD247",0.018055,"NS1"
"6","CTSW",0.025595,"NS2"
"1","CCL4",0.037522,"NS1"
"8","FGFBP2",0.10811,"NS1"
"7","FCGR3A",0.141696,"NS1"
"10","GZMB",0.143818,"NS1"
"5","CST7",0.150974,"NS1"
"19","TRBC1",0.172319,"NS1"
"13","KLRC1",0.20033,"NS2"
"17","SPON2",0.207098,"NS1"
"18","SPTSSB",0.21545,"NS2"
"2","CCL5",0.239608,"NS1"
"9","GPR183",0.244547,"NS2"
"15","PRF1",0.266742,"NS1"
"14","KLRD1",0.286129,"NS2"
"20","XCL1",0.293212,"NS2"
"21","XCL2",0.293212,"NS2"
"16","SELL",0.371877,"NS2"
"12","GZMK",0.383726,"NS2"
