entrez	target gene	target probe	source probe	Score
6415	SEPW1	201194_at	204116_at	0.592749
47	ACLY	201128_s_at	204116_at	0.592639
79073	TMEM109	201361_at	204116_at	0.592554
9939	RBM8A	222443_s_at	204116_at	0.592206
54862	CC2D1A	58994_at	204116_at	0.592025
5725	PTBP1	211270_x_at	204116_at	0.591623
2224	FDPS	201275_at	204116_at	0.591436
10421	CD2BP2	202257_s_at	204116_at	0.590910
382	ARF6	203311_s_at	204116_at	0.590698
230	ALDOC	202022_at	204116_at	0.590540
3982	LIM2	220519_s_at	204116_at	0.590293
8837	CFLAR	210563_x_at	204116_at	0.590056
9141	PDCD5	219275_at	204116_at	0.589847
26229	B3GAT3	35179_at	204116_at	0.588304
79581	SLC52A2	222155_s_at	204116_at	0.588114
259197	NCR3	211010_s_at	204116_at	0.587113
101929087	LOC101929087	208739_x_at	204116_at	0.586878
6612	SUMO3	208739_x_at	204116_at	0.586878
6613	SUMO2	208739_x_at	204116_at	0.586878
5702	PSMC3	201267_s_at	204116_at	0.586364
27101	CACYBP	210691_s_at	204116_at	0.585560
662	BNIP1	37226_at	204116_at	0.585226
1650	DDOST	208675_s_at	204116_at	0.584473
118424	UBE2J2	225209_s_at	204116_at	0.584473
864	RUNX3	204197_s_at	204116_at	0.584152
126328	NDUFA11	225304_s_at	204116_at	0.583657
10273	STUB1	227625_s_at	204116_at	0.583656
9049	AIP	201782_s_at	204116_at	0.583450
6472	SHMT2	214437_s_at	204116_at	0.583383
10948	STARD3	202991_at	204116_at	0.583323
10469	TIMM44	203093_s_at	204116_at	0.583036
94005	PIGS	223148_at	204116_at	0.582876
53637	S1PR5	221417_x_at	204116_at	0.582583
2547	XRCC6	200792_at	204116_at	0.581801
1351	COX8A	201119_s_at	204116_at	0.581440
642	BLMH	202179_at	204116_at	0.579903
56259	CTNNBL1	221021_s_at	204116_at	0.579874
6709	SPTAN1	215235_at	204116_at	0.579376
2874	GPS2	209350_s_at	204116_at	0.578824
91010	FMNL3	227844_at	204116_at	0.577827
55192	DNAJC17	219861_at	204116_at	0.577810
152007	GLIPR2	225604_s_at	204116_at	0.576937
79035	NABP2	218903_s_at	204116_at	0.576493
8530	CST7	210140_at	204116_at	0.576376
65080	MRPL44	222555_s_at	204116_at	0.576313
4802	NFYC	211797_s_at	204116_at	0.576251
83941	TM2D1	211703_s_at	204116_at	0.576208
90480	GADD45GIP1	212891_s_at	204116_at	0.576092
8289	ARID1A	210649_s_at	204116_at	0.576037
5510	PPP1R7	201214_s_at	204116_at	0.575710
1979	EIF4EBP2	208770_s_at	204116_at	0.575578
10534	SSSCA1	203114_at	204116_at	0.575405
92745	SLC38A5	234973_at	204116_at	0.574792
581	BAX	211833_s_at	204116_at	0.574690
4841	NONO	208698_s_at	204116_at	0.574246
6992	PPP1R11	1566303_s_at	204116_at	0.574190
23192	ATG4B	204903_x_at	204116_at	0.573780
9638	FEZ1	203562_at	204116_at	0.573585
150684	COMMD1	226024_at	204116_at	0.572610
8733	GPAA1	211060_x_at	204116_at	0.572571
1521	CTSW	214450_at	204116_at	0.572534
113178	SCAMP4	230634_x_at	204116_at	0.571687
113179	ADAT3	230634_x_at	204116_at	0.571687
6520	SLC3A2	200924_s_at	204116_at	0.571529
9968	MED12	203506_s_at	204116_at	0.570920
1192	CLIC1	208659_at	204116_at	0.570828
4597	MVD	203027_s_at	204116_at	0.570773
4046	LSP1	203523_at	204116_at	0.570458
83692	CD99L2	223041_at	204116_at	0.570367
5216	PFN1	200634_at	204116_at	0.570191
51060	TXNDC12	223017_at	204116_at	0.569861
8125	ANP32A	201043_s_at	204116_at	0.569859
27258	LSM3	202209_at	204116_at	0.569722
201254	STRA13	209478_at	204116_at	0.569535
101928615		225032_at	204116_at	0.569444
64778	FNDC3B	225032_at	204116_at	0.569444
10263	CDK2AP2	203252_at	204116_at	0.569368
100302254	MIR1282	218680_x_at	204116_at	0.569025
100529067	SERF2-C15ORF63	218680_x_at	204116_at	0.569025
10169	SERF2	218680_x_at	204116_at	0.569025
25764	HYPK	218680_x_at	204116_at	0.569025
121268	RHEBL1	1570253_a_at	204116_at	0.568941
4174	MCM5	201755_at	204116_at	0.568844
112869	CCDC101	221822_at	204116_at	0.568463
8914	TIMELESS	203046_s_at	204116_at	0.567975
65991	FUNDC2	223042_s_at	204116_at	0.567880
4245	MGAT1	201126_s_at	204116_at	0.567476
3312	HSPA8	210338_s_at	204116_at	0.567396
85389	SNORD14C	210338_s_at	204116_at	0.567396
85390	SNORD14D	210338_s_at	204116_at	0.567396
2029	ENSA	228851_s_at	204116_at	0.567208
79701	OGFOD3	53071_s_at	204116_at	0.567090
29959	NRBP1	217765_at	204116_at	0.566933
78987	CRELD1	203368_at	204116_at	0.566914
27069	GHITM	1554510_s_at	204116_at	0.566881
55851	PSENEN	218302_at	204116_at	0.566609
5691	PSMB3	201400_at	204116_at	0.566269
5245	PHB	200658_s_at	204116_at	0.566152
55702	CCDC94	204335_at	204116_at	0.565838
54499	TMCO1	211098_x_at	204116_at	0.565717
56674	TMEM9B	222507_s_at	204116_at	0.565614
10652	YKT6	217784_at	204116_at	0.565529
50515	CHST11	219634_at	204116_at	0.565109
50	ACO2	200793_s_at	204116_at	0.564964
5701	PSMC2	201068_s_at	204116_at	0.564733
3134	HLA-F	221875_x_at	204116_at	0.564654
7518	XRCC4	210813_s_at	204116_at	0.564601
142678	MIB2	228261_at	204116_at	0.564370
85476	GFM1	232296_s_at	204116_at	0.564292
51078	THAP4	220417_s_at	204116_at	0.564253
3275	PRMT2	228725_x_at	204116_at	0.563803
5496	PPM1G	200913_at	204116_at	0.563579
3937	LCP2	205270_s_at	204116_at	0.563312
2539	G6PD	202275_at	204116_at	0.563273
9802	DAZAP2	212595_s_at	204116_at	0.563113
84619	ZGPAT	221848_at	204116_at	0.562918
8520	HAT1	203138_at	204116_at	0.562309
9337	CNOT8	202162_s_at	204116_at	0.561956
51282	SCAND1	218206_x_at	204116_at	0.561940
101928623		202042_at	204116_at	0.561510
3035	HARS	202042_at	204116_at	0.561510
5833	PCYT2	209577_at	204116_at	0.561505
26207	PITPNC1	1568949_at	204116_at	0.561489
64146	PDF	219575_s_at	204116_at	0.561438
84342	COG8	219575_s_at	204116_at	0.561438
1716	DGUOK	203816_at	204116_at	0.561424
8559	PRPF18	221547_at	204116_at	0.561313
51329	ARL6IP4	218216_x_at	204116_at	0.561299
10459	MAD2L2	223234_at	204116_at	0.561096
832	CAPZB	201950_x_at	204116_at	0.560844
51382	ATP6V1D	208899_x_at	204116_at	0.560727
2534	FYN	216033_s_at	204116_at	0.560251
10519	CIB1	201953_at	204116_at	0.560162
8623	ASMTL	36554_at	204116_at	0.559725
7458	EIF4H	206621_s_at	204116_at	0.559696
55421	C17orf85	222779_s_at	204116_at	0.559659
9040	UBE2M	203109_at	204116_at	0.559453
55850	USE1	221706_s_at	204116_at	0.559409
54623	PAF1	202093_s_at	204116_at	0.558944
2773	GNAI3	201179_s_at	204116_at	0.558466
162427	FAM134C	212697_at	204116_at	0.558085
54432	YIPF1	214733_s_at	204116_at	0.557632
2987	GUK1	200075_s_at	204116_at	0.557569
10189	ALYREF	226320_at	204116_at	0.557415
54923	LIME1	57539_at	204116_at	0.557351
27338	UBE2S	202779_s_at	204116_at	0.557188
7009	TMBIM6	200803_s_at	204116_at	0.556880
3956	LGALS1	201105_at	204116_at	0.556803
1622	DBI	209389_x_at	204116_at	0.556677
51116	MRPS2	218001_at	204116_at	0.556671
4924	NUCB1	200649_at	204116_at	0.556482
10109	ARPC2	213513_x_at	204116_at	0.556223
10011	SRA1	224130_s_at	204116_at	0.556034
23753	SDF2L1	218681_s_at	204116_at	0.555472
79134	TMEM185B	219253_at	204116_at	0.554621
3692	EIF6	210213_s_at	204116_at	0.554115
200014	CC2D1B	225323_at	204116_at	0.554076
6883	TAF12	209463_s_at	204116_at	0.553476
150365	MEI1	230011_at	204116_at	0.553078
4818	NKG7	213915_at	204116_at	0.552951
1509	CTSD	200766_at	204116_at	0.552927
5518	PPP2R1A	200695_at	204116_at	0.552900
55911	APOBR	220023_at	204116_at	0.552620
28962	OSTM1	235197_s_at	204116_at	0.552615
100616459	MIR4745	216306_x_at	204116_at	0.551648
286140	RNF5P1	209111_at	204116_at	0.551215
