entrez	target gene	target probe	source probe	Score
101927604	LOC101927604	1557702_at	229295_at	-0.005254
6346	CCL1	207533_at	228685_at	-0.005273
284677	C1orf204	1556633_at	205707_at	-0.005281
100505583	LINC00838	1561984_at	205707_at	-0.005385
84539	MCHR2	224408_at	205707_at	-0.005385
388581	FAM132A	243292_at	228685_at	-0.005415
101928370	LOC101928370	244422_at	229295_at	-0.005439
26134	RALGAPA1P	214855_s_at	229101_at	-0.005515
401081	FLJ22763	233604_at	205707_at	-0.005525
161247	FITM1	229567_at	205707_at	-0.005537
6503	SLA	203761_at	229295_at	-0.005566
135946	OR6B1	234363_at	228685_at	-0.005637
3044	HBBP1	216063_at	205707_at	-0.005716
55120	FANCL	218397_at	228685_at	-0.005792
728127		221971_x_at	205707_at	-0.005798
729092	AGAP5	221971_x_at	205707_at	-0.005798
2290	FOXG1	207658_s_at	228685_at	-0.005845
401431	ATP6V0E2-AS1	229094_at	205707_at	-0.005861
10343	PKDREJ	220548_at	229295_at	-0.005905
404203	SPINK6	1553973_a_at	229295_at	-0.005945
81850	KRTAP1-3	220978_at	205707_at	-0.006136
50964	SOST	223869_at	229295_at	-0.006222
101927526	LOC101927526	1563247_at	229101_at	-0.006258
168451	THAP5	244190_at	229101_at	-0.006285
152831	KLB	235708_at	229295_at	-0.006296
6199	RPS6KB2	203777_s_at	205707_at	-0.006315
220047	CCDC83	237160_at	205707_at	-0.006320
79915	ATAD5	220223_at	228685_at	-0.006326
55765	C1orf106	219010_at	205707_at	-0.006329
55156	ARMC1	218185_s_at	229101_at	-0.006339
51350	KRT76	207878_at	229295_at	-0.006437
100996295	DNAH17-AS1	1569925_at	229295_at	-0.006461
55631	LRRC40	215063_x_at	228685_at	-0.006506
101926996	RUNDC3A-AS1	1557644_at	205707_at	-0.006519
6192	RPS4Y1	201909_at	205707_at	-0.006529
6779	STATH	206835_at	229295_at	-0.006574
2838	GPR15	208524_at	229101_at	-0.006671
165100	C2orf57	238187_at	229295_at	-0.006694
283214	LOC283214	1561491_at	229101_at	-0.006699
101928068	LOC101928068	1557674_s_at	229101_at	-0.006704
84319	CMSS1	224523_s_at	228685_at	-0.006806
85291	KRTAP4-2	234671_at	229295_at	-0.006828
100506730	LOC100506730	1562012_at	228685_at	-0.006828
4143	MAT1A	205813_s_at	205707_at	-0.006845
64446	DNAI2	220636_at	229101_at	-0.006926
5172	SLC26A4	206529_x_at	205707_at	-0.006948
55922	NKRF	205004_at	229101_at	-0.006977
53630	BCO1	220087_at	205707_at	-0.007025
5295	PIK3R1	212249_at	229295_at	-0.007049
339488	TFAP2E	1555348_at	229101_at	-0.007101
10368	CACNG3	206384_at	205707_at	-0.007135
414194	CCNYL2	1569878_at	229101_at	-0.007169
317701	VN1R2	1553549_at	229295_at	-0.007238
116535	MRGPRF	227727_at	205707_at	-0.007250
10394	PRG3	220811_at	205707_at	-0.007404
4990	SIX6	207250_at	229295_at	-0.007475
84417	C2orf40	223623_at	229295_at	-0.007532
100302210	MIR1909	226144_at	228685_at	-0.007535
79980	DSN1	219512_at	229101_at	-0.007555
338809	C12orf74	1556514_at	229295_at	-0.007660
64900	LPIN3	232966_at	228685_at	-0.007660
101928937	LOC101928937	1562984_at	228685_at	-0.007695
197370	NSMCE1	224666_at	229101_at	-0.007725
10686	CLDN16	220332_at	228685_at	-0.007783
100996760		1570140_at	229295_at	-0.007914
102725207	LOC102725207	1570140_at	229295_at	-0.007914
101927588	LOC101927588	1564721_at	229101_at	-0.007923
84225	ZMYND15	223683_at	228685_at	-0.007928
259294	TAS2R19	1570384_at	229295_at	-0.008002
83551	TAAR8	1553552_at	205707_at	-0.008002
100874021	MAGI2-AS2	241146_at	229295_at	-0.008060
114801	TMEM200A	234994_at	205707_at	-0.008117
101928273	LOC101928273	1561535_at	228685_at	-0.008141
131890	GRK7	1552929_at	205707_at	-0.008144
2157	F8	205756_s_at	205707_at	-0.008174
83656	FAM167A-AS1	1552448_a_at	228685_at	-0.008218
1908	EDN3	208399_s_at	229101_at	-0.008219
100505806	SNHG18	227655_at	205707_at	-0.008261
10693	CCT6B	206587_at	228685_at	-0.008302
84694	GJA10	1553044_at	229295_at	-0.008352
2984	GUCY2C	206312_at	205707_at	-0.008455
116511	MAS1L	234820_at	205707_at	-0.008484
29941	PKN3	226299_at	229101_at	-0.008562
64782	AEN	219361_s_at	205707_at	-0.008570
13	AADAC	205969_at	228685_at	-0.008755
283238	SLC22A24	1553923_at	205707_at	-0.008802
64090	GAL3ST2	1553046_s_at	228685_at	-0.008810
127534	GJB4	216579_at	229295_at	-0.008833
286238	LOC286238	1564709_at	229295_at	-0.008833
11081	KERA	220504_at	205707_at	-0.008834
3105	HLA-A	215313_x_at	205707_at	-0.008878
124359	CDYL2	227290_at	205707_at	-0.009035
29968	PSAT1	223062_s_at	205707_at	-0.009036
102723380	LOC102723380	244449_at	228685_at	-0.009087
55920	RCC2	224578_at	205707_at	-0.009090
24150	TP53TG3	220167_s_at	229295_at	-0.009098
653550	TP53TG3C	220167_s_at	229295_at	-0.009098
729264	TP53TG3D	220167_s_at	229295_at	-0.009098
729355	TP53TG3B	220167_s_at	229295_at	-0.009098
643650	LINC00842	1563742_at	229295_at	-0.009111
65065	NBEAL1	1554106_at	228685_at	-0.009126
192666	KRT24	220267_at	228685_at	-0.009188
100506060	SMG1P7	244766_at	205707_at	-0.009190
101060596	LOC101060596	244766_at	205707_at	-0.009190
102723773		244766_at	205707_at	-0.009190
347862	PDDC1	227968_at	205707_at	-0.009229
161582	DYX1C1	241713_s_at	229295_at	-0.009230
10773	ZBTB6	206098_at	205707_at	-0.009284
50836	TAS2R8	221398_at	229295_at	-0.009313
64426	SUDS3	233841_s_at	205707_at	-0.009339
9366	RAB9BP1	208245_at	229101_at	-0.009437
57169	ZNFX1	225076_s_at	229101_at	-0.009443
3112	HLA-DOB	205671_s_at	229295_at	-0.009443
