entrez	target gene	target probe	source probe	Score
3587	IL10RA	204912_at	204912_at	1.000000
221002	RASGEF1A	230563_at	204912_at	0.606733
153222	CREBRF	235556_at	204912_at	0.594200
222255	ATXN7L1	227732_at	204912_at	0.582738
10106	CTDSP2	203445_s_at	204912_at	0.580360
9938	ARHGAP25	204882_at	204912_at	0.562537
56895	AGPAT4	228667_at	204912_at	0.548910
8450	CUL4B	202214_s_at	204912_at	0.542729
23588	KLHDC2	217906_at	204912_at	0.541927
55700	MAP7D1	217943_s_at	204912_at	0.540008
2043	EPHA4	206114_at	204912_at	0.539188
133418	EMB	226789_at	204912_at	0.534351
11314	CD300A	209933_s_at	204912_at	0.533097
51523	CXXC5	222996_s_at	204912_at	0.529568
27086	FOXP1	224837_at	204912_at	0.528840
5900	RALGDS	209050_s_at	204912_at	0.523641
7779	SLC30A1	212907_at	204912_at	0.522462
11329	STK38	1557145_at	204912_at	0.522130
51439	FAM8A1	203420_at	204912_at	0.518410
6574	SLC20A1	201920_at	204912_at	0.518401
51185	CRBN	218142_s_at	204912_at	0.515649
79026	AHNAK	220016_at	204912_at	0.515615
53349	ZFYVE1	223387_at	204912_at	0.514985
10602	CDC42EP3	225685_at	204912_at	0.514450
4216	MAP3K4	216199_s_at	204912_at	0.513949
8698	S1PR4	206437_at	204912_at	0.509654
8019	BRD3	212547_at	204912_at	0.507691
2073	ERCC5	202414_at	204912_at	0.507370
11112	HIBADH	224812_at	204912_at	0.506024
23023	TMCC1	213351_s_at	204912_at	0.505849
55692	LUC7L	223295_s_at	204912_at	0.505341
23345	SYNE1	215350_at	204912_at	0.504908
57326	PBXIP1	214177_s_at	204912_at	0.503425
220213	OTUD1	226140_s_at	204912_at	0.501718
4155	MBP	1554544_a_at	204912_at	0.501251
140775	SMCR8	227305_s_at	204912_at	0.500095
3455	IFNAR2	227125_at	204912_at	0.499622
7556	ZNF10	235366_at	204912_at	0.498523
65110	UPF3A	206958_s_at	204912_at	0.492142
57215	THAP11	212910_at	204912_at	0.489566
51147	ING4	48825_at	204912_at	0.489217
6480	ST6GAL1	201998_at	204912_at	0.489184
100506776	TRG-AS1	239237_at	204912_at	0.488870
23387	SIK3	213034_at	204912_at	0.487104
23368	PPP1R13B	216347_s_at	204912_at	0.486779
8787	RGS9	206518_s_at	204912_at	0.486621
57459	GATAD2B	238076_at	204912_at	0.484746
55031	USP47	223119_s_at	204912_at	0.484627
1901	S1PR1	204642_at	204912_at	0.484478
2268	FGR	208438_s_at	204912_at	0.484217
158219	TTC39B	236826_at	204912_at	0.480207
5297	PI4KA	207081_s_at	204912_at	0.478561
11276	SYNRG	64418_at	204912_at	0.478554
57567	ZNF319	228460_at	204912_at	0.477561
57463	AMIGO1	226718_at	204912_at	0.477266
154075	SAMD3	236782_at	204912_at	0.476787
84859	LRCH3	235347_at	204912_at	0.476615
7528	YY1	224711_at	204912_at	0.476496
55857	KIZ	228291_s_at	204912_at	0.476467
2971	GTF3A	238880_at	204912_at	0.475649
9969	MED13	201987_at	204912_at	0.475153
