entrez	target gene	target probe	source probe	Score
4723	NDUFV1	208714_at	208944_at	0.239214
83607	AMMECR1L	223297_at	207334_s_at	0.239212
26073	POLDIP2	217806_s_at	207334_s_at	0.239180
22818	COPZ1	217726_at	208944_at	0.239153
5089	PBX2	202876_s_at	208944_at	0.239075
91782	CHMP7	212313_at	208944_at	0.239074
5902	RANBP1	202483_s_at	207334_s_at	0.239065
5110	PCMT1	210156_s_at	207334_s_at	0.239025
84890	ADO	212502_at	207334_s_at	0.238983
10069	RWDD2B	218377_s_at	208944_at	0.238959
101180901	IPO11-LRRC70	234304_s_at	208944_at	0.238891
51194	IPO11	234304_s_at	208944_at	0.238891
25885	POLR1A	228515_at	208944_at	0.238782
90784	LOC90784	228515_at	208944_at	0.238782
142678	MIB2	228261_at	208944_at	0.238759
490	ATP2B1	212930_at	208944_at	0.238747
26608	TBL2	212685_s_at	208944_at	0.238695
399474	TMEM200B	227386_s_at	208944_at	0.238677
643749	TRAF3IP2-AS1	243553_x_at	208944_at	0.238504
10609	P3H4	204078_at	208944_at	0.238491
6282	S100A11	200660_at	208944_at	0.238483
5411	PNN	212037_at	207334_s_at	0.238454
6239	RREB1	203704_s_at	208944_at	0.238397
6734	SRPR	200918_s_at	207334_s_at	0.238285
5997	RGS2	202388_at	208944_at	0.238260
81929	SEH1L	221931_s_at	208944_at	0.238232
4904	YBX1	208628_s_at	208944_at	0.238230
90864	SPSB3	221769_at	208944_at	0.238171
51430	SUCO	203429_s_at	208944_at	0.238067
1267	CNP	208912_s_at	208944_at	0.237987
84866	TMEM25	238514_at	207334_s_at	0.237951
100996517	LOC100996517	209207_s_at	208944_at	0.237888
9203	ZMYM3	207559_s_at	208944_at	0.237863
4779	NFE2L1	200758_s_at	207334_s_at	0.237860
5706	PSMC6	201699_at	208944_at	0.237859
8740	TNFSF14	207907_at	207334_s_at	0.237857
229	ALDOB	204704_s_at	207334_s_at	0.237854
3925	STMN1	200783_s_at	207334_s_at	0.237827
54980	C2orf42	219128_at	208944_at	0.237773
100506314	LOC100506314	1559976_at	207334_s_at	0.237738
10865	ARID5A	213138_at	208944_at	0.237673
222663	SCUBE3	217600_at	207334_s_at	0.237631
55255	WDR41	218055_s_at	208944_at	0.237425
5976	UPF1	208947_s_at	207334_s_at	0.237398
7748	ZNF195	204234_s_at	208944_at	0.237360
2867	FFAR2	221345_at	207334_s_at	0.237306
9217	VAPB	202550_s_at	208944_at	0.237224
728190	NUTM2A-AS1	227724_at	207334_s_at	0.237185
