entrez	target gene	target probe	source probe	Score
100861547	LINC00566	1569983_at	211676_s_at	0.186314
10455	ECI2	218025_s_at	211676_s_at	0.186291
5443	POMC	205720_at	211676_s_at	0.186251
1119	CHKA	204233_s_at	211676_s_at	0.186241
55731	FAM222B	218464_s_at	242903_at	0.186234
57109	REXO4	218767_at	211676_s_at	0.186228
85363	TRIM5	210705_s_at	242903_at	0.186209
100302197	MIR1306	219811_at	211676_s_at	0.186188
54487	DGCR8	219811_at	211676_s_at	0.186188
55425	GPALPP1	220171_x_at	242903_at	0.186185
6664	SOX11	204914_s_at	242903_at	0.186181
9329	GTF3C4	225543_at	211676_s_at	0.186141
57680	CHD8	212571_at	211676_s_at	0.186118
1649	DDIT3	209383_at	211676_s_at	0.186047
3594	IL12RB1	1552584_at	242903_at	0.186040
2593	GAMT	205354_at	211676_s_at	0.186007
27152	INTU	228946_at	211676_s_at	0.186002
5357	PLS1	205190_at	202727_s_at	0.185995
5900	RALGDS	209051_s_at	211676_s_at	0.185908
340591	CA5BP1	239106_at	242903_at	0.185875
5256	PHKA2	209438_at	242903_at	0.185776
80034	CSRNP3	235355_at	242903_at	0.185745
1728	NQO1	201467_s_at	211676_s_at	0.185730
58492	ZNF77	229000_at	242903_at	0.185714
255101	CCDC108	239508_x_at	202727_s_at	0.185709
79035	NABP2	218903_s_at	211676_s_at	0.185696
100131755	ARMCX4	227444_at	242903_at	0.185660
10880	ACTL7B	220498_at	211676_s_at	0.185610
9436	NCR2	221075_s_at	211676_s_at	0.185527
5716	PSMD10	1554577_a_at	211676_s_at	0.185525
10615	SPAG5	203145_at	202727_s_at	0.185511
154215	NKAIN2	1554601_at	242903_at	0.185477
10663	CXCR6	206974_at	242903_at	0.185460
55789	DEPDC1B	226980_at	211676_s_at	0.185458
9684	LRRC14	32062_at	211676_s_at	0.185447
6273	S100A2	204268_at	211676_s_at	0.185281
4582	MUC1	207847_s_at	211676_s_at	0.185264
100287114	LINC00421	1555196_at	211676_s_at	0.185233
100132057	LOC100132057	237173_at	242903_at	0.185229
23567	ZNF346	236267_at	242903_at	0.185206
3429	IFI27	202411_at	211676_s_at	0.185185
6317	SERPINB3	209720_s_at	242903_at	0.185167
55647	RAB20	237373_at	202727_s_at	0.185145
166	AES	217729_s_at	211676_s_at	0.185117
54103	GSAP	222150_s_at	202727_s_at	0.185113
80742	PRR3	204795_at	211676_s_at	0.185109
84843	LOC84843	1553623_at	202727_s_at	0.185083
54517	PUS7	218984_at	242903_at	0.185056
57338	JPH3	220188_at	211676_s_at	0.185050
25791	NGEF	243556_at	202727_s_at	0.185031
340602	CXorf67	1555396_s_at	242903_at	0.185008
117177	RAB3IP	228432_at	211676_s_at	0.184999
6790	AURKA	208079_s_at	211676_s_at	0.184992
100132686	LOC100132686	1555180_at	242903_at	0.184976
57827	C6orf47	204968_at	242903_at	0.184952
126382	NR2C2AP	226839_at	211676_s_at	0.184944
55957	LIN37	213526_s_at	211676_s_at	0.184874
1797	DXO	215982_s_at	242903_at	0.184834
55791	LRIF1	220235_s_at	242903_at	0.184821
57805	CCAR2	225187_at	211676_s_at	0.184711
57673	BEND3	227920_at	211676_s_at	0.184705
376497	SLC27A1	226728_at	211676_s_at	0.184696
55142	HAUS2	220071_x_at	242903_at	0.184661
100130776	AGAP2-AS1	1555907_at	211676_s_at	0.184637
54858	PGPEP1	223469_at	202727_s_at	0.184613
11162	NUDT6	220183_s_at	211676_s_at	0.184553
23086	EXPH5	213929_at	202727_s_at	0.184539
1506	CTRL	214377_s_at	211676_s_at	0.184527
57142	RTN4	1556049_at	242903_at	0.184521
441094	NR2F1-AS1	1556695_a_at	211676_s_at	0.184518
101927178	LOC101927178	227029_at	202727_s_at	0.184513
283635	FAM177A1	227029_at	202727_s_at	0.184513
26298	EHF	222932_at	211676_s_at	0.184461
54069	MIS18A	228597_at	202727_s_at	0.184455
101928420	LINC01490	1559837_at	211676_s_at	0.184434
84522	JAGN1	223104_at	211676_s_at	0.184396
6894	TARBP1	202813_at	242903_at	0.184395
64478	CSMD1	1553405_a_at	242903_at	0.184392
27295	PDLIM3	209621_s_at	211676_s_at	0.184383
10460	TACC3	218308_at	211676_s_at	0.184382
11280	SCN11A	224029_x_at	242903_at	0.184375
148534	TMEM56	237515_at	242903_at	0.184372
10220	GDF11	216860_s_at	242903_at	0.184352
157869	SBSPON	235210_s_at	242903_at	0.184333
84978	FRMD5	230831_at	202727_s_at	0.184331
2944	GSTM1	215333_x_at	211676_s_at	0.184282
83873	GPR61	224531_at	202727_s_at	0.184268
162394	SLFN5	1557078_at	211676_s_at	0.184259
57794	SUGP1	215004_s_at	211676_s_at	0.184222
27148	STK36	226166_x_at	242903_at	0.184194
51727	CMPK1	222448_s_at	202727_s_at	0.184190
6342	SCP2	211733_x_at	242903_at	0.184162
25875	LETMD1	207170_s_at	242903_at	0.184077
23607	CD2AP	203593_at	202727_s_at	0.184051
1305	COL13A1	211343_s_at	242903_at	0.184048
3096	HIVEP1	204512_at	211676_s_at	0.183993
7036	TFR2	210215_at	211676_s_at	0.183989
2672	GFI1	206589_at	211676_s_at	0.183938
5143	PDE4C	206792_x_at	242903_at	0.183891
729966	LOC729966	206792_x_at	242903_at	0.183891
100131733	USP30-AS1	228675_at	211676_s_at	0.183882
2017	CTTN	214782_at	242903_at	0.183875
5686	PSMA5	230300_at	242903_at	0.183839
201294	UNC13D	228352_at	211676_s_at	0.183828
1820	ARID3A	205865_at	242903_at	0.183800
598	BCL2L1	206665_s_at	211676_s_at	0.183793
1824	DSC2	226817_at	242903_at	0.183782
166815	TIGD2	229983_at	242903_at	0.183774
10346	TRIM22	213293_s_at	202727_s_at	0.183717
8473	OGT	229787_s_at	242903_at	0.183707
158809	MAGEB6	1552858_at	242903_at	0.183687
606500	SNORD68	214351_x_at	211676_s_at	0.183681
6137	RPL13	214351_x_at	211676_s_at	0.183681
6415	SEPW1	201194_at	211676_s_at	0.183678
51144	HSD17B12	217869_at	202727_s_at	0.183662
113174	SAAL1	225614_at	202727_s_at	0.183661
3094	HINT1	1555960_at	242903_at	0.183641
23518	R3HDM1	202754_at	242903_at	0.183627
899	CCNF	204826_at	242903_at	0.183610
91942	NDUFAF2	228355_s_at	211676_s_at	0.183601
653645	TBC1D3P1-DHX40P1	221194_s_at	202727_s_at	0.183559
10905	MAN1A2	217920_at	202727_s_at	0.183545
57343	ZNF304	207753_at	202727_s_at	0.183521
80746	TSEN2	219581_at	202727_s_at	0.183440
11259	FILIP1L	1554965_at	202727_s_at	0.183415
157381	LINC00964	1562703_at	242903_at	0.183387
55813	UTP6	218715_at	211676_s_at	0.183379
102725263		59433_at	242903_at	0.183377
3097	HIVEP2	212641_at	211676_s_at	0.183352
1537	CYC1	201066_at	211676_s_at	0.183340
80110	ZNF614	220721_at	211676_s_at	0.183335
10505	SEMA4F	210124_x_at	202727_s_at	0.183292
23243	ANKRD28	1561079_at	242903_at	0.183292
25929	GEMIN5	225712_at	211676_s_at	0.183288
4909	NTF4	231785_at	211676_s_at	0.183284
94027	CGB7	231785_at	211676_s_at	0.183284
4174	MCM5	201755_at	211676_s_at	0.183277
10015	PDCD6IP	217746_s_at	211676_s_at	0.183277
6419	SETMAR	206554_x_at	211676_s_at	0.183274
56159	TEX11	234296_s_at	242903_at	0.183263
222256	CDHR3	235650_at	242903_at	0.183211
137695	TMEM68	227936_at	211676_s_at	0.183201
25758	KIAA1549L	214772_at	242903_at	0.183169
55240	STEAP3	1554830_a_at	211676_s_at	0.183165
402055	SRRD	213608_s_at	211676_s_at	0.183145
130013	ACMSD	230602_at	202727_s_at	0.183123
170691	ADAMTS17	1552727_s_at	242903_at	0.183118
87178	PNPT1	225291_at	202727_s_at	0.183117
246777	SPESP1	229352_at	202727_s_at	0.183112
51239	ANKRD39	223532_at	211676_s_at	0.183109
85313	PPIL4	226472_at	202727_s_at	0.183108
79155	TNIP2	232160_s_at	211676_s_at	0.183063
22847	ZNF507	235618_at	202727_s_at	0.183021
4123	MAN2C1	203668_at	211676_s_at	0.183021
8833	GMPS	229333_at	242903_at	0.183017
23592	LEMD3	218604_at	211676_s_at	0.183014
131408	FAM131A	221904_at	211676_s_at	0.182996
9122	SLC16A4	205234_at	202727_s_at	0.182987
79823	CAMKMT	219617_at	211676_s_at	0.182957
80021	TMEM62	218776_s_at	202727_s_at	0.182952
100128553	CTAGE4	215549_x_at	211676_s_at	0.182952
100142659	CTAGE8	215549_x_at	211676_s_at	0.182952
643854	CTAGE9	215549_x_at	211676_s_at	0.182952
100272228	LINC00894	1569315_s_at	242903_at	0.182924
125950	RAVER1	223425_at	211676_s_at	0.182919
224	ALDH3A2	210544_s_at	202727_s_at	0.182892
6721	SREBF2	201248_s_at	211676_s_at	0.182871
173	AFM	206840_at	242903_at	0.182865
2961	GTF2E2	202680_at	211676_s_at	0.182849
30844	EHD4	1556608_a_at	211676_s_at	0.182829
2100	ESR2	211120_x_at	211676_s_at	0.182813
55752	SEPT11	230071_at	242903_at	0.182807
23314	SATB2	215591_at	242903_at	0.182799
54872	PIGG	1563842_at	211676_s_at	0.182795
4892	NRAP	207089_at	242903_at	0.182780
115677	NOSTRIN	226992_at	242903_at	0.182779
91408	BTF3L4	226963_at	211676_s_at	0.182765
156	ADRBK1	201401_s_at	211676_s_at	0.182752
220074	LRTOMT	1568882_at	202727_s_at	0.182720
128338	DRAM2	225230_at	202727_s_at	0.182712
55831	EMC3	215250_at	242903_at	0.182705
6407	SEMG2	216030_s_at	242903_at	0.182705
10795	ZNF268	238030_at	211676_s_at	0.182705
2079	ERH	200043_at	211676_s_at	0.182693
57624	NYAP2	233916_at	211676_s_at	0.182677
23585	TMEM50A	217766_s_at	211676_s_at	0.182673
203	AK1	202588_at	202727_s_at	0.182669
1130	LYST	1562511_at	202727_s_at	0.182668
79157	MFSD11	221192_x_at	242903_at	0.182653
23333	DPY19L1	215433_at	242903_at	0.182643
10447	FAM3C	240062_at	242903_at	0.182639
717	C2	1554533_at	211676_s_at	0.182636
168374	ZNF92	1564962_at	202727_s_at	0.182567
10916	MAGED2	208682_s_at	211676_s_at	0.182563
728431	LINC01137	229678_at	211676_s_at	0.182512
100507404	TMLHE-AS1	1560797_s_at	242903_at	0.182509
101927830	LOC101927830	1560797_s_at	242903_at	0.182509
22881	ANKRD6	204671_s_at	242903_at	0.182483
93973	ACTR8	222707_s_at	211676_s_at	0.182446
112616	CMTM7	1560754_at	202727_s_at	0.182415
102725016	LOC102725016	219264_s_at	211676_s_at	0.182406
28227	PPP2R3B	219264_s_at	211676_s_at	0.182406
100642175	SPRY4-IT1	1566968_at	211676_s_at	0.182388
79572	ATP13A3	212297_at	202727_s_at	0.182364
222008	VSTM2A	1554530_at	211676_s_at	0.182281
100128025	WWTR1-AS1	228629_s_at	211676_s_at	0.182210
51506	UFC1	217797_at	211676_s_at	0.182188
221154	MICU2	212410_at	202727_s_at	0.182164
440926	H3F3AP4	200080_s_at	202727_s_at	0.182163
8818	DPM2	209391_at	211676_s_at	0.182141
79711	IPO4	209150_s_at	211676_s_at	0.182126
84959	UBASH3B	240387_at	242903_at	0.182112
1291	COL6A1	212937_s_at	211676_s_at	0.182099
9644	SH3PXD2A	207661_s_at	242903_at	0.182093
92558	CCDC64	228320_x_at	242903_at	0.182091
6204	RPS10	214001_x_at	242903_at	0.182021
9875	URB1	212996_s_at	211676_s_at	0.182006
283860	LINC00304	1564334_at	202727_s_at	0.181991
1478	CSTF2	238821_at	202727_s_at	0.181988
4953	ODC1	200790_at	211676_s_at	0.181979
55966	AJAP1	215789_s_at	211676_s_at	0.181907
60528	ELAC2	201767_s_at	211676_s_at	0.181873
29965	CDIP1	218183_at	211676_s_at	0.181866
253512	SLC25A30	226782_at	202727_s_at	0.181858
1369	CPN1	206256_at	211676_s_at	0.181838
8383	OR1A1	221388_at	202727_s_at	0.181827
1894	ECT2	219787_s_at	211676_s_at	0.181824
113444	SMIM12	225404_at	211676_s_at	0.181820
51720	UIMC1	220746_s_at	211676_s_at	0.181783
101926892	LOC101926892	233162_at	242903_at	0.181777
6919	TCEA2	203919_at	211676_s_at	0.181764
157570	ESCO2	241252_at	242903_at	0.181758
100526761	CCDC169-SOHLH2	233297_s_at	211676_s_at	0.181743
728591	CCDC169	233297_s_at	211676_s_at	0.181743
29956	CERS2	222212_s_at	211676_s_at	0.181733
22888	UBOX5	215544_s_at	211676_s_at	0.181713
100885848	PTGES3L	222064_s_at	211676_s_at	0.181712
100885850	PTGES3L-AARSD1	222064_s_at	211676_s_at	0.181712
80755	AARSD1	222064_s_at	211676_s_at	0.181712
439951	LOC439951	1555209_at	211676_s_at	0.181707
51703	ACSL5	222592_s_at	211676_s_at	0.181700
27160	INGX	224245_at	242903_at	0.181697
6189	RPS3A	201257_x_at	202727_s_at	0.181688
8944	SNORD73A	201257_x_at	202727_s_at	0.181688
151176	FAM132B	229622_at	202727_s_at	0.181687
101927752	LOC101927752	227092_at	211676_s_at	0.181673
100130609	PP12708	1570115_at	242903_at	0.181666
168391	GALNTL5	233150_at	211676_s_at	0.181628
51439	FAM8A1	203420_at	242903_at	0.181590
27146	FAM184B	233823_at	242903_at	0.181547
6898	TAT	214413_at	211676_s_at	0.181533
6609	SMPD1	216230_x_at	211676_s_at	0.181521
5434	POLR2E	213887_s_at	211676_s_at	0.181520
102724891		1565802_at	242903_at	0.181484
80148	PQLC1	218208_at	211676_s_at	0.181459
10638	SPHAR	203582_s_at	211676_s_at	0.181442
5867	RAB4A	203582_s_at	211676_s_at	0.181442
134121	C5orf49	239722_at	211676_s_at	0.181409
132158	GLYCTK	238518_x_at	211676_s_at	0.181404
3038	HAS3	1552980_at	202727_s_at	0.181397
10385	BTN2A2	205298_s_at	242903_at	0.181383
84249	PSD2	223536_at	242903_at	0.181383
114827	FHAD1	1557771_at	202727_s_at	0.181328
54910	SEMA4C	46665_at	242903_at	0.181290
91450	LOC91450	233418_at	242903_at	0.181196
5440	POLR2K	202635_s_at	211676_s_at	0.181141
55582	KIF27	232514_at	202727_s_at	0.181123
149643	SPATA45	1559390_a_at	242903_at	0.181114
860	RUNX2	236859_at	242903_at	0.181106
28512	NKIRAS1	225930_at	242903_at	0.181106
2768	GNA12	224681_at	211676_s_at	0.181099
89970	RSPRY1	225774_at	211676_s_at	0.181096
51095	TRNT1	1552625_a_at	242903_at	0.181086
148254	ZNF555	1556188_a_at	202727_s_at	0.181058
100423041	MIR4296	1561963_at	242903_at	0.181050
54143	LINC00308	1552604_at	242903_at	0.181050
57212	TP73-AS1	213340_s_at	202727_s_at	0.181050
101927305	LOC101927305	237771_s_at	242903_at	0.181049
101929865		228078_at	211676_s_at	0.181031
101930243		228078_at	211676_s_at	0.181031
4599	MX1	202086_at	211676_s_at	0.181009
157247	MGC27345	231844_at	242903_at	0.180973
2189	FANCG	203564_at	211676_s_at	0.180973
64577	ALDH8A1	220148_at	242903_at	0.180970
2631	GBAS	201816_s_at	202727_s_at	0.180954
51059	FAM135B	1557838_at	211676_s_at	0.180952
79676	OGFOD2	219245_s_at	211676_s_at	0.180934
51226	COPZ2	219561_at	202727_s_at	0.180927
54477	PLEKHA5	220952_s_at	242903_at	0.180921
407025	MIR29B2	228528_at	211676_s_at	0.180850
407026	MIR29C	228528_at	211676_s_at	0.180850
80332	ADAM33	232570_s_at	242903_at	0.180845
25839	COG4	212189_s_at	211676_s_at	0.180833
8443	GNPAT	201956_s_at	242903_at	0.180806
10490	VTI1B	225928_at	211676_s_at	0.180753
100507431	LOC100507431	227009_at	242903_at	0.180724
