entrez	target gene	target probe	source probe	Score
55236	UBA6	222602_at	206618_at	0.428998
8454	CUL1	238509_at	206618_at	0.428948
23216	TBC1D1	212350_at	206618_at	0.428049
374	AREG	205239_at	206618_at	0.427792
1124	CHN2	213385_at	206618_at	0.426938
7072	TIA1	201450_s_at	206618_at	0.426630
283587	LINC01146	1559363_at	206618_at	0.426451
7561	ZNF14	219854_at	206618_at	0.426366
54856	GON4L	223555_at	206618_at	0.425832
3383	ICAM1	202637_s_at	206618_at	0.425159
677	ZFP36L1	211962_s_at	206618_at	0.424996
10892	MALT1	210018_x_at	206618_at	0.424847
54793	KCTD9	218823_s_at	206618_at	0.424371
285148	IAH1	230621_at	206618_at	0.424133
92483	LDHAL6B	210712_at	206618_at	0.424070
222487	ADGRG3	1553723_at	206618_at	0.423290
6016	RIT1	243463_s_at	206618_at	0.422953
23092	ARHGAP26	205068_s_at	206618_at	0.422907
25942	SIN3A	238005_s_at	206618_at	0.422687
84524	ZC3H8	223506_at	206618_at	0.421921
79745	CLIP4	226425_at	206618_at	0.420914
83548	COG3	223450_s_at	206618_at	0.420874
6655	SOS2	212870_at	206618_at	0.420815
331	XIAP	228363_at	206618_at	0.420147
10154	PLXNC1	206471_s_at	206618_at	0.419449
9500	MAGED1	209014_at	206618_at	0.418925
51655	RASD1	223467_at	206618_at	0.418239
55274	PHF10	225048_at	206618_at	0.417960
8780	RIOK3	202130_at	206618_at	0.417862
166647	ADGRA3	210473_s_at	206618_at	0.417815
64859	NABP1	233085_s_at	206618_at	0.417593
102724093	LOC102724093	213212_x_at	206618_at	0.417013
374650	GOLGA6L5P	213212_x_at	206618_at	0.417013
440295	GOLGA6L9	213212_x_at	206618_at	0.417013
643707	GOLGA6L4	213212_x_at	206618_at	0.417013
51320	MEX3C	218247_s_at	206618_at	0.415923
58508	KMT2C	222415_at	206618_at	0.415541
7188	TRAF5	204352_at	206618_at	0.414337
22856	CHSY1	203044_at	206618_at	0.413990
6477	SIAH1	202981_x_at	206618_at	0.413636
85440	DOCK7	225384_at	206618_at	0.413624
284307	ZIK1	235773_at	206618_at	0.413585
151636	DTX3L	225415_at	206618_at	0.412960
837	CASP4	209310_s_at	206618_at	0.412803
7803	PTP4A1	200731_s_at	206618_at	0.411804
199692	ZNF627	224492_s_at	206618_at	0.411193
219333	USP12	213327_s_at	206618_at	0.411029
259230	SGMS1	212989_at	206618_at	0.410968
56252	YLPM1	212787_at	206618_at	0.410536
51542	VPS54	233656_s_at	206618_at	0.410285
84838	ZNF496	1557616_at	206618_at	0.410126
54906	FAM208B	218331_s_at	206618_at	0.409629
85363	TRIM5	210705_s_at	206618_at	0.409139
